,﻿origin,geocode_name,lat,lng,country,city,adm1,adm2
0,Киев,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
1,Київ,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
2,"м.Кременчук, Полтавська обл.","Kremenchuk, Poltavs'ka oblast, Ukraine",49.065783,33.410033,Ukraine,Kremenchuk,Poltavs'ka oblast,
3,м.Маріуполь,"Mariupol', Donetsk Oblast, Ukraine",47.097133,37.543366999999996,Ukraine,Mariupol',Donetsk Oblast,
4,,,,,,,,
5,Харків,"Kharkiv, Kharkiv Oblast, Ukraine",49.9935,36.230383,Ukraine,Kharkiv,Kharkiv Oblast,
6,Одеса,"Odessa, Odessa Oblast, Ukraine",46.482526,30.723309499999996,Ukraine,Odessa,Odessa Oblast,
7,Місто Київ,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
8,kuev,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
9,м.Тернопіль,"Ternopil, Ternopil's'ka oblast, Ukraine",49.553517,25.594767,Ukraine,Ternopil,Ternopil's'ka oblast,
10,Бровари,"Brovary, Kyivs'ka oblast, Ukraine",50.511083,30.7909,Ukraine,Brovary,Kyivs'ka oblast,
11, Житомир,"Zhytomyr, Zhytomyrs'ka oblast, Ukraine",50.25465,28.658666999999998,Ukraine,Zhytomyr,Zhytomyrs'ka oblast,
12,Донецк,"Donetsk, Donetsk Oblast, Ukraine",48.015883,37.80285,Ukraine,Donetsk,Donetsk Oblast,
13,Чернівці,"Chernivtsi, Chernivets'ka oblast, Ukraine",48.2920787,25.9358367,Ukraine,Chernivtsi,Chernivets'ka oblast,
14,Львів,"Lviv, Lviv Oblast, Ukraine",49.839683,24.029717,Ukraine,Lviv,Lviv Oblast,
15,Івано-Франківськ,"Ivano-Frankivsk, Ivano-Frankivs'ka oblast, Ukraine",48.922633000000005,24.711117,Ukraine,Ivano-Frankivsk,Ivano-Frankivs'ka oblast,
16,Запоріжжя,"Zaporizhia, Zaporiz'ka oblast, Ukraine",47.8388,35.139567,Ukraine,Zaporizhia,Zaporiz'ka oblast,
17,Вінниця,"Vinnytsia, Vinnyts'ka oblast, Ukraine",49.233083,28.468217,Ukraine,Vinnytsia,Vinnyts'ka oblast,
18,Kharkiv,"Kharkiv, Kharkiv Oblast, Ukraine",49.9935,36.230383,Ukraine,Kharkiv,Kharkiv Oblast,
19,Херсон,"Kherson, Khersons'ka oblast, Ukraine",46.635417,32.616867,Ukraine,Kherson,Khersons'ka oblast,
20,Kiev,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
21,м.Київ,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
22,lviv,"Lviv, Lviv Oblast, Ukraine",49.839683,24.029717,Ukraine,Lviv,Lviv Oblast,
23,м. Київ,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
24,г.Одесса,"Odessa, Odessa Oblast, Ukraine",46.482526,30.723309499999996,Ukraine,Odessa,Odessa Oblast,
25,Kyiv,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
26,Крим,Crimea,44.952117,34.102416999999996,,,Crimea,
27,г.Киев,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
28,м. Харків,"Kharkiv, Kharkiv Oblast, Ukraine",49.9935,36.230383,Ukraine,Kharkiv,Kharkiv Oblast,
29,Тернопіль,"Ternopil, Ternopil's'ka oblast, Ukraine",49.553517,25.594767,Ukraine,Ternopil,Ternopil's'ka oblast,
30,Полтава,"Poltava, Poltavs'ka oblast, Ukraine",49.58826699999999,34.551417,Ukraine,Poltava,Poltavs'ka oblast,
31,Дрогобич,"Drohobych, Lviv Oblast, Ukraine",49.358011600000005,23.5123193,Ukraine,Drohobych,Lviv Oblast,
32,Кіровоград,"Kirovohrad, Kirovohrads'ka oblast, Ukraine",48.50793300000001,32.262316999999996,Ukraine,Kirovohrad,Kirovohrads'ka oblast,
33,Мукачево,"Mukacheve, Zakarpats'ka oblast, Ukraine",48.45,22.75,Ukraine,Mukacheve,Zakarpats'ka oblast,
34,м. Суми,"Sumy, Sums'ka oblast, Ukraine",50.9077,34.7981,Ukraine,Sumy,Sums'ka oblast,Sums'kyi district
35,Житомир,"Zhytomyr, Zhytomyrs'ka oblast, Ukraine",50.25465,28.658666999999998,Ukraine,Zhytomyr,Zhytomyrs'ka oblast,
36,Ужгород,"Uzhhorod, Zakarpats'ka oblast, Ukraine",48.6208,22.287882999999997,Ukraine,Uzhhorod,Zakarpats'ka oblast,
37,Шепетівка,"Shepetivka, Khmel'nyts'ka oblast, Ukraine",50.183333000000005,27.066667,Ukraine,Shepetivka,Khmel'nyts'ka oblast,
38,Маневичі,"Manevychi, Volyns'ka oblast, Ukraine",51.293889,25.532778,Ukraine,Manevychi,Volyns'ka oblast,Manevyts'kyi district
39,Луцьк,"Lutsk, Volyns'ka oblast, Ukraine",50.74723299999999,25.325383,Ukraine,Lutsk,Volyns'ka oblast,
40,Ізмаїл,"Izmail, Odessa Oblast, Ukraine",45.351667,28.836389,Ukraine,Izmail,Odessa Oblast,Izmail's'kyi district
41,"м.Ромни, Сумська обл.","Romny, Sums'ka oblast, Ukraine",50.75,33.466667,Ukraine,Romny,Sums'ka oblast,
42,Дніпропетровськ,"Dnepropetrovsk, Dnipropetrovsk Oblast, Ukraine",48.464717,35.046183,Ukraine,Dnepropetrovsk,Dnipropetrovsk Oblast,
43,КИЇВ ,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
44,Izmail,"Izmail, Odessa Oblast, Ukraine",45.351667,28.836389,Ukraine,Izmail,Odessa Oblast,Izmail's'kyi district
45,Poltava,"Poltava, Poltavs'ka oblast, Ukraine",49.58826699999999,34.551417,Ukraine,Poltava,Poltavs'ka oblast,
46,м. Полтава,"Poltava, Poltavs'ka oblast, Ukraine",49.58826699999999,34.551417,Ukraine,Poltava,Poltavs'ka oblast,
47,Обухів/Київ,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
48,"Коломия, Івано-Франківська обл.","Kolomyya, Ivano-Frankivs'ka oblast, Ukraine",48.530556,25.040278,Ukraine,Kolomyya,Ivano-Frankivs'ka oblast,Kolomyis'kyi district
49,львів,"Lviv, Lviv Oblast, Ukraine",49.839683,24.029717,Ukraine,Lviv,Lviv Oblast,
50,Бориспіль,"Boryspil', Kyivs'ka oblast, Ukraine",50.3482,30.95615,Ukraine,Boryspil',Kyivs'ka oblast,
51,Запоріжж,"Zaporizhia, Zaporiz'ka oblast, Ukraine",47.8388,35.139567,Ukraine,Zaporizhia,Zaporiz'ka oblast,
52,Київ ,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
53,Днепропетровск,"Dnepropetrovsk, Dnipropetrovsk Oblast, Ukraine",48.464717,35.046183,Ukraine,Dnepropetrovsk,Dnipropetrovsk Oblast,
54,Одеса ,"Odessa, Odessa Oblast, Ukraine",46.482526,30.723309499999996,Ukraine,Odessa,Odessa Oblast,
55,"м. Люботин, Харківська обл.","Lyubotyn, Kharkiv Oblast, Ukraine",49.95,35.929444000000004,Ukraine,Lyubotyn,Kharkiv Oblast,
56,Надвірна,"Nadvirna, Ivano-Frankivs'ka oblast, Ukraine",48.633333,24.583333,Ukraine,Nadvirna,Ivano-Frankivs'ka oblast,Nadvornyans'kyi district
57,Черкаси,"Cherkasy, Cherkas'ka oblast, Ukraine",49.444433000000004,32.059767,Ukraine,Cherkasy,Cherkas'ka oblast,
58,м.Хмельницький,"Khmelnytskyi, Khmel'nyts'ka oblast, Ukraine",49.422983,26.987133,Ukraine,Khmelnytskyi,Khmel'nyts'ka oblast,
59,"Tallinn,Estonia","Tallinn, Estonia",59.43696079999999,24.7535746,Estonia,Tallinn,Harju County,Tallinna linn
60,Острог,"Ostroh, Rivnens'ka oblast, Ukraine",50.333333,26.516666999999998,Ukraine,Ostroh,Rivnens'ka oblast,
61,м.Харків,"Kharkiv, Kharkiv Oblast, Ukraine",49.9935,36.230383,Ukraine,Kharkiv,Kharkiv Oblast,
62,Донецьк,"Donetsk, Donetsk Oblast, Ukraine",48.015883,37.80285,Ukraine,Donetsk,Donetsk Oblast,
63,м. Львів,"Lviv, Lviv Oblast, Ukraine",49.839683,24.029717,Ukraine,Lviv,Lviv Oblast,
64,Lviv,"Lviv, Lviv Oblast, Ukraine",49.839683,24.029717,Ukraine,Lviv,Lviv Oblast,
65,Rb]d,"RB, Goodyear, AZ 85338, USA",33.3671645,-112.38803390000001,United States,Goodyear,Arizona,Maricopa County
66,Харьков,"Kharkiv, Kharkiv Oblast, Ukraine",49.9935,36.230383,Ukraine,Kharkiv,Kharkiv Oblast,
67, Киев,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
68,"Одеська обл, Великомихайлівський р-н, с. Новоселівка","Novoselivka, Odessa Oblast, Ukraine",46.992222,29.911944000000002,Ukraine,Novoselivka,Odessa Oblast,Velykomykhailivs'kyi district
69,Николаев,"Mykolaiv, Mykolaivs'ka oblast, Ukraine",46.975033,31.994583000000002,Ukraine,Mykolaiv,Mykolaivs'ka oblast,
70,м. Бровари,"Brovary, Kyivs'ka oblast, Ukraine",50.511083,30.7909,Ukraine,Brovary,Kyivs'ka oblast,
71,с. Проліски,"Prolisky, Kyivs'ka oblast, Ukraine",50.393333,30.788333,Ukraine,Prolisky,Kyivs'ka oblast,Boryspil's'kyi district
72,"м.Олександрія, Кіровоградська обл.","Oleksandriya, Kirovohrads'ka oblast, Ukraine",48.666667,33.116667,Ukraine,Oleksandriya,Kirovohrads'ka oblast,
73,місто Київ,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
74,м. Вінниця,"Vinnytsia, Vinnyts'ka oblast, Ukraine",49.233083,28.468217,Ukraine,Vinnytsia,Vinnyts'ka oblast,
75,kiev,"Kyiv, Kyiv city, Ukraine",50.4501,30.5234,Ukraine,Kyiv,Kyiv city,Kyiv City
76,Krasnodon,"Krasnodon, Luhans'ka oblast, Ukraine",48.3,39.73333299999999,Ukraine,Krasnodon,Luhans'ka oblast,
77,м.Житомир,"Zhytomyr, Zhytomyrs'ka oblast, Ukraine",50.25465,28.658666999999998,Ukraine,Zhytomyr,Zhytomyrs'ka oblast,
78,Рівне,"Rivne, Rivnens'ka oblast, Ukraine",50.6199,26.251617,Ukraine,Rivne,Rivnens'ka oblast,
79,"м. Кременчук, Полтавська обл.","Kremenchuk, Poltavs'ka oblast, Ukraine",49.065783,33.410033,Ukraine,Kremenchuk,Poltavs'ka oblast,
80,Кривий Ріг ,"Kryvyi Rih, Dnipropetrovsk Oblast, Ukraine",47.910483,33.391783000000004,Ukraine,Kryvyi Rih,Dnipropetrovsk Oblast,
81,"Гвадалахара, Мексика","Guadalajara, JAL, Mexico",20.6596988,-103.3496092,Mexico,Guadalajara,Jalisco,
82,"м.Камінь-Каширський, (Волинська обл.)","Kamin'-Kashyrs'kyi, Volyns'ka oblast, Ukraine",51.624167,24.960556,Ukraine,Kamin'-Kashyrs'kyi,Volyns'ka oblast,Kamin'-Kashyrs'kyi district
83,Dnipropetrovsk,"Dnepropetrovsk, Dnipropetrovsk Oblast, Ukraine",48.464717,35.046183,Ukraine,Dnepropetrovsk,Dnipropetrovsk Oblast,
84,м. Макіївка,"Makiivka, Donetsk Oblast, Ukraine",48.0459557,37.9666901,Ukraine,Makiivka,Donetsk Oblast,
85,Черкаська  область  Катеринопільський  район  село  Ярошівка,"Yaroshivka, Cherkas'ka oblast, Ukraine",48.77,31.255556,Ukraine,Yaroshivka,Cherkas'ka oblast,Katerynopil's'kyi district
86,Винница,"Vinnytsia, Vinnyts'ka oblast, Ukraine",49.233083,28.468217,Ukraine,Vinnytsia,Vinnyts'ka oblast,
87,"Україна, Одеса","Odessa, Odessa Oblast, Ukraine",46.482526,30.723309499999996,Ukraine,Odessa,Odessa Oblast,
88,Ірпінь ,"Irpin' river, Ukraine",50.4095625,29.961174100000004,Ukraine,,,
89,м. Одеса,"Odessa, Odessa Oblast, Ukraine",46.482526,30.723309499999996,Ukraine,Odessa,Odessa Oblast,
90,Миколаїв,"Mykolaiv, Mykolaivs'ka oblast, Ukraine",46.975033,31.994583000000002,Ukraine,Mykolaiv,Mykolaivs'ka oblast,
91,м.Дніпропетровськ,"Dnepropetrovsk, Dnipropetrovsk Oblast, Ukraine",48.464717,35.046183,Ukraine,Dnepropetrovsk,Dnipropetrovsk Oblast,
92,"м. Ужгород, Закарпатська обл.","Uzhhorod, Zakarpats'ka oblast, Ukraine",48.6208,22.287882999999997,Ukraine,Uzhhorod,Zakarpats'ka oblast,
93,Melitopol,"Melitopol', Zaporiz'ka oblast, Ukraine",46.833333,35.366667,Ukraine,Melitopol',Zaporiz'ka oblast,
94,Олександрія,"Alexandria, Alexandria Governorate, Egypt",31.2000924,29.9187387,Egypt,Alexandria,Alexandria Governorate,
95,Lutsk,"Lutsk, Volyns'ka oblast, Ukraine",50.74723299999999,25.325383,Ukraine,Lutsk,Volyns'ka oblast,
96,м.Рівне,"Rivne, Rivnens'ka oblast, Ukraine",50.6199,26.251617,Ukraine,Rivne,Rivnens'ka oblast,
97,Доброполье,"Dobropillya, Donetsk Oblast, Ukraine",48.420039,37.052291,Ukraine,Dobropillya,Donetsk Oblast,Dobropil's'kyi district
98,Переяслав-хмельницький,"Pereyaslav-Khmel'nyts'kyi, Kyivs'ka oblast, Ukraine",50.066111,31.442221999999997,Ukraine,Pereyaslav-Khmel'nyts'kyi,Kyivs'ka oblast,
99,Irpin,"Irpin', Kyivs'ka oblast, Ukraine",50.51875,30.239783000000003,Ukraine,Irpin',Kyivs'ka oblast,
100,Шостка,"Shostka, Sums'ka oblast, Ukraine",51.866667,33.483333,Ukraine,Shostka,Sums'ka oblast,
101,Нікополь,"Nikopol', Dnipropetrovsk Oblast, Ukraine",47.56746,34.394815,Ukraine,Nikopol',Dnipropetrovsk Oblast,
102,Donetsk,"Donetsk, Donetsk Oblast, Ukraine",48.015883,37.80285,Ukraine,Donetsk,Donetsk Oblast,
103,с. Бистричі,"Bystrychi, Rivnens'ka oblast, Ukraine",50.882222,26.905833,Ukraine,Bystrychi,Rivnens'ka oblast,Bereznivs'kyi district
104,Бердичів,"Berdychiv, Zhytomyrs'ka oblast, Ukraine",49.9,28.566667,Ukraine,Berdychiv,Zhytomyrs'ka oblast,
105,Токмак,"Tokmak, Zaporiz'ka oblast, Ukraine",47.25,35.7,Ukraine,Tokmak,Zaporiz'ka oblast,
106,Одесса,"Odessa, Odessa Oblast, Ukraine",46.482526,30.723309499999996,Ukraine,Odessa,Odessa Oblast,
107,м. Краснодон,"Krasnodon, Luhans'ka oblast, Ukraine",48.3,39.73333299999999,Ukraine,Krasnodon,Luhans'ka oblast,
108,"Украина, город Кривой Рог","Kryvyi Rih, Dnipropetrovsk Oblast, Ukraine",47.910483,33.391783000000004,Ukraine,Kryvyi Rih,Dnipropetrovsk Oblast,
109,м. Буча,"Bucha, Kyivs'ka oblast, Ukraine",50.4468014,30.075619699999997,Ukraine,Bucha,Kyivs'ka oblast,Kyjevo-Svyatoshyns'kyi district
110,"Одеса,село Великий Дальник","Odessa, Odessa Oblast, Ukraine",46.482526,30.723309499999996,Ukraine,Odessa,Odessa Oblast,
111,м.Одесса,"Odessa, Odessa Oblast, Ukraine",46.482526,30.723309499999996,Ukraine,Odessa,Odessa Oblast,
112,м.Луцьк,"Lutsk, Volyns'ka oblast, Ukraine",50.74723299999999,25.325383,Ukraine,Lutsk,Volyns'ka oblast,
113,м.Острог,"Ostroh, Rivnens'ka oblast, Ukraine",50.333333,26.516666999999998,Ukraine,Ostroh,Rivnens'ka oblast,
114,Ivano-Frankivsk,"Ivano-Frankivsk, Ivano-Frankivs'ka oblast, Ukraine",48.922633000000005,24.711117,Ukraine,Ivano-Frankivsk,Ivano-Frankivs'ka oblast,
115,Краматорськ,"Kramatorsk, Donetsk Oblast, Ukraine",48.738966999999995,37.58435,Ukraine,Kramatorsk,Donetsk Oblast,
116,г. Днепродзержинск,"Dniprodzerzhyns'k, Dnipropetrovsk Oblast, Ukraine",48.523117,34.613683,Ukraine,Dniprodzerzhyns'k,Dnipropetrovsk Oblast,
117,Суми,"Sumy, Sums'ka oblast, Ukraine",50.9077,34.7981,Ukraine,Sumy,Sums'ka oblast,Sums'kyi district
118,New York,"New York, NY, USA",40.7127837,-74.00594129999999,United States,New York,New York,New York County
119,Васильків,"Vasyl'kiv, Kyivs'ka oblast, Ukraine",50.17833299999999,30.31583299999999,Ukraine,Vasyl'kiv,Kyivs'ka oblast,
