,adm1,city,count,country,lat,lng
0,Kyiv city,Kyiv,5065.0,Ukraine,50.4063969,30.676372100000002
1,Lviv Oblast,Lviv,1086.0,Ukraine,49.819931,23.9695718
2,Kharkiv Oblast,Kharkiv,444.0,Ukraine,49.9935,36.230383
3,Odessa Oblast,Odessa,384.0,Ukraine,46.375272499999994,30.7164464
4,Dnipropetrovsk Oblast,Dnepropetrovsk,321.0,Ukraine,48.403472,35.136744
5,Ivano-Frankivs'ka oblast,Ivano-Frankivsk,183.0,Ukraine,48.922633000000005,24.711117
6,Ternopil's'ka oblast,Ternopil,179.0,Ukraine,49.553517,25.594767
7,Zaporiz'ka oblast,Zaporizhia,163.0,Ukraine,47.8388,35.139567
8,Vinnyts'ka oblast,Vinnytsia,142.0,Ukraine,49.233083,28.468217
9,Волынская,Lutsk,137.0,Ukraine,50.743512,25.345957000000002
10,Zhytomyrs'ka oblast,Zhytomyr,107.0,Ukraine,50.25465,28.658666999999998
11,Sums'ka oblast,Sumy,102.0,Ukraine,50.9077,34.7981
12,Rivnens'ka oblast,Rivne,97.0,Ukraine,50.6199,26.251617
13,Cherkas'ka oblast,Cherkasy,96.0,Ukraine,49.444433000000004,32.059767
14,Chernivets'ka oblast,Chernivtsi,94.0,Ukraine,48.2920787,25.9358367
15,Dnipropetrovsk Oblast,Kryvyi Rih,91.0,Ukraine,47.910483,33.391783000000004
16,Donetsk Oblast,Donetsk,87.0,Ukraine,47.970924,37.770821000000005
17,Mykolaivs'ka oblast,Mykolaiv,81.0,Ukraine,46.975033,31.994583000000002
18,Kharkiv Oblast,Poltava,73.0,Ukraine,49.555848100000006,37.2575485
19,Khersons'ka oblast,Kherson,67.0,Ukraine,46.635417,32.616867
20,Zakarpats'ka oblast,Uzhhorod,62.0,Ukraine,48.6208,22.287882999999997
21,Khmel'nyts'ka oblast,Khmelnytskyi,51.0,Ukraine,49.422983,26.987133
22,Kyivs'ka oblast,Brovary,49.0,Ukraine,50.495925,30.7604729
23,Poltavs'ka oblast,Kremenchuk,45.0,Ukraine,49.065783,33.410033
24,Chernihivs'ka oblast,Chernihiv,44.0,Ukraine,51.4982,31.28935
25,Dnipropetrovsk Oblast,Dniprodzerzhyns'k,35.0,Ukraine,48.523117,34.613683
26,Kirovohrads'ka oblast,Kirovohrad,32.0,Ukraine,48.50793300000001,32.262316999999996
27,Donetsk Oblast,Mariupol',29.0,Ukraine,47.097133,37.543366999999996
28,Kyivs'ka oblast,Bila Tserkva,29.0,Ukraine,49.798889,30.115278000000004
29,Donetsk Oblast,Kramatorsk,25.0,Ukraine,48.716762,37.5768757
30,Kyivs'ka oblast,Boryspil',23.0,Ukraine,50.33822199999999,30.8939274
31,Ivano-Frankivs'ka oblast,Kalush,23.0,Ukraine,49.0303724,24.4211128
32,Rivnens'ka oblast,Ostroh,21.0,Ukraine,50.333333,26.516666999999998
33,Ivano-Frankivs'ka oblast,Kolomyya,19.0,Ukraine,48.52989729999999,25.053106699999997
34,Luhans'ka oblast,Luhansk,19.0,Ukraine,48.574040999999994,39.307815000000005
35,Lviv Oblast,Drohobych,17.0,Ukraine,49.358011600000005,23.5123193
36,Kyivs'ka oblast,Boyarka,16.0,Ukraine,50.317116999999996,30.298167
37,Zakarpats'ka oblast,Mukacheve,16.0,Ukraine,48.45,22.75
38,Kyivs'ka oblast,Obukhiv,15.0,Ukraine,50.13,30.656667
39,Zaporiz'ka oblast,Berdyans'k,15.0,Ukraine,46.759722,36.784444
40,Lviv Oblast,Stryi,15.0,Ukraine,49.25,23.85
41,Kyivs'ka oblast,Bucha,14.0,Ukraine,50.4468014,30.075619699999997
42,Khmel'nyts'ka oblast,Kam'yanets'-Podil's'kyi,14.0,Ukraine,48.683333000000005,26.583333000000003
43,Kyivs'ka oblast,Vyshhorod,14.0,Ukraine,50.5904776,30.4831982
44,Zaporiz'ka oblast,Melitopol',12.0,Ukraine,46.833333,35.366667
45,Kyivs'ka oblast,Vyshneve,12.0,Ukraine,50.3919,30.368267
46,Dnipropetrovsk Oblast,Nikopol',12.0,Ukraine,47.56746,34.394815
47,Crimea,Simferopol,12.0,,44.952117,34.102416999999996
48,Kyivs'ka oblast,Irpin',11.0,Ukraine,50.51875,30.239783000000003
49,Masovian Voivodeship,Warsaw,11.0,Poland,52.2296756,21.012228699999998
50,Odessa Oblast,Illichivs'k,11.0,Ukraine,46.2952236,30.648085499999997
51,Kyivs'ka oblast,Fastiv,10.0,Ukraine,50.083333,29.916666999999997
52,Odessa Oblast,Yuzhne,10.0,Ukraine,46.624021299999995,31.1000648
53,Rivnens'ka oblast,Dubno,9.0,Ukraine,50.416667,25.75
54,Zhytomyrs'ka oblast,Berdychiv,9.0,Ukraine,49.9,28.566667
55,Zaporiz'ka oblast,Enerhodar,8.0,Ukraine,47.50150670000001,34.6341859
56,Donetsk Oblast,Makiivka,8.0,Ukraine,48.0459557,37.9666901
57,Kirovohrads'ka oblast,Svitlovods'k,8.0,Ukraine,49.050278000000006,33.241944000000004
58,Cherkas'ka oblast,Uman',7.0,Ukraine,48.75,30.216666999999998
59,Khmel'nyts'ka oblast,Shepetivka,7.0,Ukraine,50.183333000000005,27.066667
60,Donetsk Oblast,Horlivka,7.0,Ukraine,48.3054062,38.0277908
61,Luhans'ka oblast,Severodonetsk,7.0,Ukraine,48.933333000000005,38.5
62,Lviv Oblast,Chervonohrad,7.0,Ukraine,50.39,24.23
63,Volyns'ka oblast,Novovolynsk,7.0,Ukraine,50.73333299999999,24.166667
64,Lviv Oblast,Zolochiv,7.0,Ukraine,49.80941,24.901370999999997
65,Chernihivs'ka oblast,Pryluky,6.0,Ukraine,50.59999999999999,32.4
66,Harju County,Tallinn,6.0,Estonia,59.388861,24.688905899999998
