,users
Kyiv,5065
Lviv,1086
Kharkiv,444
Odessa,384
Dnepropetrovsk,321
Ivano-Frankivsk,183
Ternopil,179
Zaporizhia,163
Vinnytsia,142
Lutsk,137
Zhytomyr,107
Sumy,102
Rivne,97
Cherkasy,96
Chernivtsi,94
Kryvyi Rih,91
Donetsk,87
Mykolaiv,81
Poltava,73
Kherson,67
Uzhhorod,62
Khmelnytskyi,51
Brovary,49
Kremenchuk,45
Chernihiv,44
Dniprodzerzhyns'k,35
Kirovohrad,32
Mariupol',29
Bila Tserkva,29
Kramatorsk,25
Kalush,23
Boryspil',23
Ostroh,21
Kolomyya,19
Luhansk,19
Drohobych,17
Boyarka,16
Mukacheve,16
Stryi,15
Berdyans'k,15
Obukhiv,15
Bucha,14
Kam'yanets'-Podil's'kyi,14
Vyshhorod,14
Vyshneve,12
Melitopol',12
Nikopol',12
Simferopol,12
Illichivs'k,11
Irpin',11
Warsaw,11
Yuzhne,10
Fastiv,10
Dubno,9
Berdychiv,9
Svitlovods'k,8
Enerhodar,8
Makiivka,8
Uman',7
Severodonetsk,7
Zolochiv,7
Shepetivka,7
Horlivka,7
Chervonohrad,7
Novovolynsk,7
Novopskov,6
Wroclaw,6
Tallinn,6
Pryluky,6
Vasyl'kiv,6
Sevastopol,6
Ukrainka,6
Shostka,6
Novoyavorivs'k,6
Slovyansk,5
Vienna,5
Stebnyk,5
Pidvolochys'k,5
Truskavets,5
Pavlohrad,5
Chicago,5
Novyi Rozdil,5
Malyn,4
Komsomol's'k,4
Kuznetsovsk,4
Netishyn,4
Slavutych,4
Alexandria,4
Hlukhiv,4
Bilohorodka,4
Poznan,4
Sambir,4
Izmail,4
Katowice,4
Smila,4
Krakow,4
Bohuslav,4
Pereyaslav-Khmel'nyts'kyi,4
Nova Kakhovka,4
Nizhyn,4
Kovel',4
Horodok,4
Shanghai,3
Zhovti Vody,3
Slavuta,3
New York,3
Prague,3
Berezhany,3
Konotop,3
Vynohradiv,3
Novohrad-Volyns'kyi,3
London,3
Goodyear,3
Sokal',3
Ladyzhyn,3
Skadovs'k,3
Nemishajeve,3
Donets'k,3
Toronto,3
Moscow,3
Berlin,3
Lublin,3
Skvyra,3
Tokmak,3
Alchevs'k,3
Pustomyty,3
Zalishchyky,3
Lubny,3
Rome,3
Verkhn'odniprovs'k,3
Yenakijeve,3
Yaremche,2
Kup'yans'k,2
Druzhkivka,2
Dublin,2
Brody,2
Zmiiv,2
Lysychans'k,2
Polonne,2
Makariv,2
Haradok,2
Dobropillya,2
Cairo,2
Feodosiya,2
Ivankiv,2
Pervomais'k,2
Perechyn,2
Dzhankoi,2
Boryslav,2
Hadyach,2
Oleksandriya,2
Romny,2
Munich,2
Kozyatyn,2
Sarny,2
Tarashcha,2
Kostyantynivka,2
Saint Petersburg,2
Krasnoarmiis'k,2
Yahotyn,2
Zdolbuniv,2
Pershotravens'k,2
Stakhanov,2
Stuttgart,2
Sofiivs'ka Borshchahivka,2
Demydiv,2
Hradyz'k,2
Rozhnevi Polya,2
Petah Tikva,2
Svatove,2
Stanislav,2
Novomoskovs'k,2
Khust,2
Hlyboka,2
Snyatyn,2
Yalta,2
Kosiv,2
Burshtyn,2
Nyzhn'ohirs'kyi,2
Krasnodon,2
Volnovakha,2
Dymytrov,2
Krasnyi Lyman,2
Novosilky,2
Nadvirna,2
Rīga,2
Kerch,2
Novi Petrivtsi,2
Lleida,2
Madrid,2
Bilhorod-Dnistrovs'kyi,2
Obroshyne,2
Korosten',2
Opole,2
Chubyns'ke,2
Zolotonosha,2
Beijing,2
İstanbul,1
Freiburg,1
смт. Новоайдар,1
Žilina,1
Primorsky,1
Kopychyntsi,1
Zahattya,1
Oslo,1
Gainesville,1
Kam'yanka-Buz'ka,1
Milicz,1
Vyhoda,1
Copenhagen,1
Chmil',1
Sontsedarivka,1
Novoselivka,1
Skole,1
Pisochyn,1
Bydgoszcz,1
Lausanne,1
Lyubotyn,1
Radekhiv,1
Cuenca,1
Erfurt,1
Derazhnya,1
Calgary,1
Varva,1
Velykyi Dal'nyk,1
Oleksiivka,1
Vuzlove,1
Mykhailivka,1
Vancouver,1
Ivanychi,1
Frankfurt,1
Tul'chyn,1
Kotsyubyns'ke,1
Lysyanka,1
Kosivs'ka Polyana,1
Volos'ke,1
Zhydachiv,1
Novohrodivka,1
Korsun',1
Myrhorod,1
Guangzhou,1
Southampton,1
Selyshche,1
Rozvadiv,1
Lashkivka,1
Brussels,1
Arkadiivka,1
Yevpatoriya,1
Velyki Kosharyshcha,1
Lypova Dolyna,1
Mostys'ka,1
Peremyshlyany,1
Bashtanka,1
Navan,1
Izyum,1
Manevychi,1
Mytnytsya,1
Rio de Janeiro,1
Hlevakha,1
Lille,1
Oleksandrivka,1
Tsenyava,1
Kitsman',1
Starobil's'k,1
Mala Racha,1
Pniv,1
Tatarbunary,1
Stepan',1
Mizhhir'ya,1
Le Bez,1
Zabolotiv,1
Kwidzyn,1
Zhashkiv,1
Shakhtars'k,1
Brno,1
Shul'hynka,1
Seattle,1
Barcelona,1
Mahdalynivka,1
Selydove,1
Kaniv,1
Bystrychi,1
Broshniv-Osada,1
Kriukivshchyna,1
Volodymyr-Volynsky,1
Sokilnyky,1
Mostyshche,1
Romaniv,1
Tyachiv,1
Lodz,1
