year_of_birth,gender,level_of_education,mailing_address
1992,m,m,Киев
1982,m,m,Київ
1974,f,m,Київ
1972,f,m,"м.Кременчук, Полтавська обл."
1973,f,p,м.Маріуполь
None,,b,
1991,m,m,Харків
1990,f,m,Одеса
1982,m,m,
1991,f,m,Місто Київ
1965,f,m,kuev
1976,f,m,м.Тернопіль
1991,f,m,Київ
1971,m,m,Киiв
1987,m,m,Київ
1995,m,hs,Харків
1989,m,b,Бровари
1979,f,m,Киев
1974,f,m, Житомир
None,,,
None,,m,
1973,m,m,Донецк
1990,f,m,Чернівці
1988,m,m,Київ
1992,m,m,Львів
1989,m,m,Івано-Франківськ
1988,m,m,Киев
1961,m,p,Львів
1988,m,hs,Запоріжжя
1988,m,b,
1995,m,a,Київ
1980,m,a,Київ
1979,m,m,Вінниця
1976,m,m,Київ
1987,m,m,Київ
1985,m,m,Киів
None,,,
1972,m,m,Одеса
1977,m,m,
1976,f,m,Київ
2014,f,m,Київ
1970,m,m,Kharkiv
None,f,m,
1975,f,hs,Київ
1991,f,m,
1968,f,jhs,Херсон
1979,f,m,Kiev
1988,f,m,Київ
1994,m,a,м.Київ
1975,f,m,lviv
1985,m,m,Одеса
1983,m,m,м. Київ
1991,f,m,
1983,m,m,Київ
1974,m,a,Киев
1988,m,m,Київ
None,m,m,
1987,m,m,Київ
1985,m,m,
1993,f,b,
1986,m,m,
1958,m,m,г.Одесса
1997,f,a,Kiev
1986,f,m,Київ
1975,m,p,Харків
1990,m,b,Kiev
1993,m,a,Львів
1972,m,m,Вінниця
1994,m,a,
1971,m,none,Kyiv
1990,m,m,Київ
1985,m,m,Крим
1991,m,jhs,
1964,f,m,Вінниця
1977,m,m,Kiev
1975,m,m,г.Киев
1982,m,other,Київ
1995,m,jhs,м. Харків
1990,m,m,Тернопіль
1959,f,m,
1993,f,b,Полтава
1990,m,m,Київ
1985,m,m,Kyiv
1995,m,a,Дрогобич
1990,m,hs,
1982,f,m,Київ
1972,m,m,
1979,m,m,Кіровоград
None,,,
1992,m,b,Київ
1993,f,hs,
1996,f,hs,
1988,m,m,Львів
1993,f,m,Мукачево
1988,f,m,Kyiv
1990,f,m,Київ
1993,f,m,Київ
1993,m,b,м. Суми
1979,m,m,Житомир
1991,m,a,
1990,m,m,Kiev
1971,m,a,Ужгород
1980,m,m,Шепетівка
1992,m,b,
1995,m,hs,Київ
1990,m,m,Київ
1994,f,a,Маневичі
1985,m,m,Київ
1993,f,b,Київ
1996,m,a,Київ
1979,f,m,
1997,f,a,Київ
1982,f,a,Харків
1986,f,m,Луцьк
1990,m,m,Ізмаїл
1983,m,m,
1988,m,b,"м.Ромни, Сумська обл."
None,,m,
1988,f,m,Одеса
1997,f,hs,Дніпропетровськ
1975,f,m,Київ
1982,m,m,КИЇВ 
1989,m,m,Izmail
1993,m,b,Дніпропетровськ
1994,f,a,
1993,f,a,Poltava
1988,m,m,м. Полтава
1993,m,a,Обухів/Київ
1980,f,a,Киев
1959,f,m,"Коломия, Івано-Франківська обл."
1961,m,b,львів
1983,m,m,Kyiv
1986,m,other,
1982,m,b,Бориспіль
1980,m,m,Киев
1987,f,m,Київ
1985,m,hs,Житомир
1991,f,m,Запоріжж
1986,m,m,Львів
1992,f,b,Київ 
1995,f,a,м.Київ
1973,m,m,Днепропетровск
1996,m,a,Львів
1984,f,m,Одеса 
1991,m,b,Київ
1972,m,m,Київ
1983,f,m,"м. Люботин, Харківська обл."
1976,f,b,Kiev
1989,f,b,Надвірна
1981,f,m,Kiev
1992,,b,Київ
1980,m,a,Черкаси
1979,m,m,Львів
1980,f,b,Київ
1967,f,a,
1969,f,m,м.Хмельницький
1986,f,hs,м.Київ
None,f,,
1976,f,m,Київ
1995,m,hs,Днепропетровск
1984,m,m,Киев
1991,f,m,Харків
1992,m,m,"Tallinn,Estonia"
1986,f,m,Харків
1986,m,m,Одеса
1975,m,m,Чернівці
1981,f,m,Kyiv
1997,f,hs,Острог
1992,f,m,м.Харків
1984,f,m,Київ
1984,f,m,Київ
1990,f,m,Харків
None,f,,
1991,m,b,Київ
1988,f,m,Одеса
1981,m,m,
1988,f,m,Донецьк
1986,m,m,Kiev
1978,m,p,Київ
1993,m,a,
