origin,exception
Львіві,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%9B%D1%8C%D0%B2%D1%96%D0%B2%D1%96&components=&sensor=false&language=&bounds="
мiсто Запорiжжя,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BCi%D1%81%D1%82%D0%BE+%D0%97%D0%B0%D0%BF%D0%BE%D1%80i%D0%B6%D0%B6%D1%8F&components=&sensor=false&language=&bounds="
Iвано - Франкiвськ / Львiв ,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=I%D0%B2%D0%B0%D0%BD%D0%BE+-+%D0%A4%D1%80%D0%B0%D0%BD%D0%BAi%D0%B2%D1%81%D1%8C%D0%BA+%2F+%D0%9B%D1%8C%D0%B2i%D0%B2+&components=&sensor=false&language=&bounds="
"Київска обл., м.Бровари","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%9A%D0%B8%D1%97%D0%B2%D1%81%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB.%2C+%D0%BC.%D0%91%D1%80%D0%BE%D0%B2%D0%B0%D1%80%D0%B8&components=&sensor=false&language=&bounds="
Запорыжжя,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%97%D0%B0%D0%BF%D0%BE%D1%80%D1%8B%D0%B6%D0%B6%D1%8F&components=&sensor=false&language=&bounds="
"м. Луцьк, Волинської обл.","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.+%D0%9B%D1%83%D1%86%D1%8C%D0%BA%2C+%D0%92%D0%BE%D0%BB%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BE%D0%B1%D0%BB.&components=&sensor=false&language=&bounds="
Дьвів,"Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%94%D1%8C%D0%B2%D1%96%D0%B2&components=&sensor=false&language=&bounds="
"Народилася в Коломиї (Івано-Франківська обл), навчалася у Львові а зараз навчаюся в Таллінні (Естонія) ","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%B8%D0%BB%D0%B0%D1%81%D1%8F+%D0%B2+%D0%9A%D0%BE%D0%BB%D0%BE%D0%BC%D0%B8%D1%97+%28%D0%86%D0%B2%D0%B0%D0%BD%D0%BE-%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB%29%2C+%D0%BD%D0%B0%D0%B2%D1%87%D0%B0%D0%BB%D0%B0%D1%81%D1%8F+%D1%83+%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D1%96+%D0%B0+%D0%B7%D0%B0%D1%80%D0%B0%D0%B7+%D0%BD%D0%B0%D0%B2%D1%87%D0%B0%D1%8E%D1%81%D1%8F+%D0%B2+%D0%A2%D0%B0%D0%BB%D0%BB%D1%96%D0%BD%D0%BD%D1%96+%28%D0%95%D1%81%D1%82%D0%BE%D0%BD%D1%96%D1%8F%29+&components=&sensor=false&language=&bounds="
"m.Gorodok, Lvivska obl.","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=m.Gorodok%2C+Lvivska+obl.&components=&sensor=false&language=&bounds="
"м.Полтава, с. Микільське","Error ZERO_RESULTS
Query: https://maps.google.com/maps/api/geocode/json?region=&address=%D0%BC.%D0%9F%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D0%B0%2C+%D1%81.+%D0%9C%D0%B8%D0%BA%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5&components=&sensor=false&language=&bounds="
