origin,suggested
Киiв,київ
Киів,київ
Днiпропетровськ ,дніпропетровськ
Харкiв,харків
місто Красноармыйськ,місто красноармійська
киів,київ
"Украина, Киевская обл., Фастовский р-н, пос.Боровая",україни киевская обл фастівський р н пос.боровая
Харьків,харків
Село Корделівка Калинівського району Вінницької області,
Кіїв,кіно
Киъв,київ
м. Харкiв,м харкові
Пiсочин,
Киїі,київ
Черныгів,чернігів
"Боярка, Київської обл.",
Днiпропетровськ,дніпропетровськ
"Саутгемпон, Велика Британiя",саутгемптон велика британія
село Тернувате Кривоозерського району Миколаївської області,село тернувате кривоозерського району миколаївська область
"мБрянка, Луганська обл.",
м.Днепропетровськ,
Краматорськ Донецької обл.,краматорська донецька обл
Кихв,київ
kMDSD,
Тернопiль,тернопіль
"Я проживав у смт. Буштино, тячівський рйр що в Закарпатській обл, але вже більже 5 років живу за кордоном а саме с Чехії",
Місто Харьків,місто харків
Умань Черкаської області,
В1нниця,
селище Власівка кіровоградської області,
"М.Красний Луч 
Луганскька область",м.красний луч луганська область
"Cуми, Україна",
м. Дніпродзержинськ Дніпропетровської області,
Харкыв,
molipden@gmail.com,
м. Дніпропетровск,м дніпропетровська
Камянці-Подільському,кам'янця подільського
"Київська область, с. Копилов",
смт. Немішаєве Київської обл. ,
"м.Київ
вул. Волинська 25, кв.19",
Дныпропетровськ,дніпропетровськ
м.Киъв,
Кiev,
Львіів,львів
Миколаів,микола
Чернiгiв,чернігів
Тимчасово проживаю у Москві.,
"c.Єгорівка, Волноваського р-н, Донецької обл.",
" смт Середнє, Ужгородський р-н, Закарпатська обл.",смт середня ужгородський р н закарпатської обл
Ганнусівка Тисменицького рн Івано-Франківської обл. ,ганнівка тисменицького рн івано франківськ обл
"м.Яворів, Львівської обл.",м.яворів львівський обл
м.Долина Івано-Франківської області,
Святогiрск,
"м. Бердянськ, Запорізької обл.",
Камишуваха,
м.Киів,
"с. Требухів (Броварський р-н., Київської області)",
Kijiv ,
Київська обл. м.Бориспіль,
Харкiв ,харків
м.Ковель Волиської обл.,м.ковель волинської обл
м. Стрий Львівської області,
"м. Дніпродзержинськ, Дніпропетровської обл.",
Я з Луганська. Зараз живу в Черкасах.,я з луганська зараз живе в черкаси
Киеы,київ
Киеїв,київ
м. Гребінка Полтавської обл.,
"м.Київ
м.Коломия",
Львiв,львів
"Йорін, Данія",йоган даних
"м.Чортків, Тернопільська обл.",
"м. Бровари, Київської області",
 Харкiв,харків
Киïв,київ
Zaporizhya,
"м. Копичинці, Тернопільська обл",
"М. Вінниця; вул. Нагірна 21ж, кв. 26",м вінниця вул нагір'я 21ж кв 26
Кyiv,
Поки що м. Донецьк. Донецьк - це Україна!,полк що м донецьк донецьк це україни
село Великы Кощарища,село великі кошарища
"Київська обл., Броварський р-н, смт. Калинівка",
